woj;powiat;teryt
Dolnośląskie;Bolesławiecki;0201
Dolnośląskie;Dzierżoniowski;0202
Dolnośląskie;Głogowski;0203
Dolnośląskie;Górowski;0204
Dolnośląskie;Jaworski;0205
Dolnośląskie;Jeleniogórski;0206
Dolnośląskie;Kamiennogórski;0207
Dolnośląskie;Kłodzki;0208
Dolnośląskie;Legnicki;0209
Dolnośląskie;Lubański;0210
Dolnośląskie;Lubiński;0211
Dolnośląskie;Lwówecki;0212
Dolnośląskie;Milicki;0213
Dolnośląskie;Oleśnicki;0214
Dolnośląskie;Oławski;0215
Dolnośląskie;Polkowicki;0216
Dolnośląskie;Strzeliński;0217
Dolnośląskie;Średzki;0218
Dolnośląskie;Świdnicki;0219
Dolnośląskie;Trzebnicki;0220
Dolnośląskie;Wałbrzyski;0221
Dolnośląskie;Wołowski;0222
Dolnośląskie;Wrocławski;0223
Dolnośląskie;Ząbkowicki;0224
Dolnośląskie;Zgorzelecki;0225
Dolnośląskie;Złotoryjski;0226
Dolnośląskie;Jelenia Góra;0261
Dolnośląskie;Legnica;0262
Dolnośląskie;Wrocław;0264
Dolnośląskie;Wałbrzych;0265
Kujawsko-pomorskie;Aleksandrowski;0401
Kujawsko-pomorskie;Brodnicki;0402
Kujawsko-pomorskie;Bydgoski;0403
Kujawsko-pomorskie;Chełmiński;0404
Kujawsko-pomorskie;Golubsko-Dobrzyński;0405
Kujawsko-pomorskie;Grudziądzki;0406
Kujawsko-pomorskie;Inowrocławski;0407
Kujawsko-pomorskie;Lipnowski;0408
Kujawsko-pomorskie;Mogileński;0409
Kujawsko-pomorskie;Nakielski;0410
Kujawsko-pomorskie;Radziejowski;0411
Kujawsko-pomorskie;Rypiński;0412
Kujawsko-pomorskie;Sępoleński;0413
Kujawsko-pomorskie;Świecki;0414
Kujawsko-pomorskie;Toruński;0415
Kujawsko-pomorskie;Tucholski;0416
Kujawsko-pomorskie;Wąbrzeski;0417
Kujawsko-pomorskie;Włocławski;0418
Kujawsko-pomorskie;Żniński;0419
Kujawsko-pomorskie;Bydgoszcz;0461
Kujawsko-pomorskie;Grudziądz;0462
Kujawsko-pomorskie;Toruń;0463
Kujawsko-pomorskie;Włocławek;0464
Lubelskie;Bialski;0601
Lubelskie;Biłgorajski;0602
Lubelskie;Chełmski;0603
Lubelskie;Hrubieszowski;0604
Lubelskie;Janowski;0605
Lubelskie;Krasnostawski;0606
Lubelskie;Kraśnicki;0607
Lubelskie;Lubartowski;0608
Lubelskie;Lubelski;0609
Lubelskie;Łęczyński;0610
Lubelskie;Łukowski;0611
Lubelskie;Opolski;0612
Lubelskie;Parczewski;0613
Lubelskie;Puławski;0614
Lubelskie;Radzyński;0615
Lubelskie;Rycki;0616
Lubelskie;Świdnicki;0617
Lubelskie;Tomaszowski;0618
Lubelskie;Włodawski;0619
Lubelskie;Zamojski;0620
Lubelskie;Biała Podlaska;0661
Lubelskie;Chełm;0662
Lubelskie;Lublin;0663
Lubelskie;Zamość;0664
Lubuskie;Gorzowski;0801
Lubuskie;Krośnieński;0802
Lubuskie;Międzyrzecki;0803
Lubuskie;Nowosolski;0804
Lubuskie;Słubicki;0805
Lubuskie;Strzelecko-Drezdenecki;0806
Lubuskie;Sulęciński;0807
Lubuskie;Świebodziński;0808
Lubuskie;Zielonogórski;0809
Lubuskie;Żagański;0810
Lubuskie;Żarski;0811
Lubuskie;Wschowski;0812
Lubuskie;Gorzów Wielkopolski;0861
Lubuskie;Zielona Góra;0862
Łódzkie;Bełchatowski;1001
Łódzkie;Kutnowski;1002
Łódzkie;Łaski;1003
Łódzkie;Łęczycki;1004
Łódzkie;Łowicki;1005
Łódzkie;Łódzki Wschodni;1006
Łódzkie;Opoczyński;1007
Łódzkie;Pabianicki;1008
Łódzkie;Pajęczański;1009
